lat,lon,number
50.7680686,5.7055926,4
50.768832,6.0100533,3
50.7721154,6.0211686,3
50.7735006,5.7078129,2
50.7747962,6.0092118,2
50.7750429,5.7123742,2
50.7757977,5.9125821,3
50.7788715,5.7094096,4
50.7790269,5.7116932,4
50.779572,5.7160212,1
50.7797332,5.7162209,1
50.7809043,5.7089416,2
50.8065602,5.7331932,3
50.8186021,5.8218978,1
50.8189873,5.8246258,1
50.8202643,5.8268516,2
50.8221404,5.8251523,1
50.8239374,5.7203379,1
50.8240061,5.7276185,1
50.8245701,5.7222299,2
50.8246874,5.9509428,1
50.8257807,5.7201524,3
50.8269603,5.7256249,1
50.8270011,5.7208707,3
50.8324388,5.724132,2
50.8335818,5.9788437,2
50.8340454,5.8945907,3
50.8356366,5.6891791,1
50.8363037,5.6884453,1
50.8380447,5.6929566,1
50.8405572,5.7236374,2
50.8412984,5.6791364,2
50.8442009,5.689959,4
50.8442752,5.6524071,2
50.844413,5.647169,1
50.845662,5.6915302,1
50.8457495,5.7121889,2
50.846025,5.706895,2
50.8486051,5.6935091,1
50.8487855,5.6898328,2
50.8489968,5.6982825,1
50.8495783,5.6822131,1
50.8500989,5.6680738,1
50.850124,6.0224204,1
50.8504855,5.7028789,2
50.8511605,5.6992484,3
50.8538543,5.6936006,2
50.8538621,5.6693463,5
50.8557506,6.0109661,4
50.8569662,5.9454987,5
50.8590251,5.6716359,1
50.8605092,5.7944967,1
50.8605475,5.788674,3
50.8605726,6.0737364,2
50.8611188,5.7283742,2
50.8611233,5.6510691,1
50.8618103,5.6721643,1
50.8641311,5.7737344,1
50.864348,5.8333067,1
50.8647046,5.8364065,1
50.8651025,6.0086773,1
50.8653422,5.7068011,1
50.8683116,5.8403763,2
50.8683795,6.0144033,1
50.8689733,5.9819807,1
50.8690368,5.7067556,2
50.8690475,6.0021674,1
50.869886,5.8236577,1
50.8699516,5.8852817,2
50.8700355,6.0023226,1
50.870344,5.8214033,1
50.8710706,6.0087859,2
50.8719761,5.797865,2
50.8720466,5.8437655,1
50.8727065,5.8289406,1
50.874977,5.9405303,1
50.8754903,6.0042846,4
50.8763625,5.737835,1
50.8766078,5.9263991,1
50.877498,5.8778754,1
50.8776443,5.9861129,2
50.8782108,5.6914175,1
50.8783282,5.9754656,4
50.8791345,5.9300658,4
50.8805067,5.9288031,2
50.8814692,6.0157459,4
50.8817335,5.8732171,3
50.8835781,5.9236383,2
50.8854627,5.9724727,5
50.8856693,5.7569757,1
50.8864401,5.9800025,2
50.8864783,5.7484274,1
50.8871349,5.9759471,1
50.8875435,5.746972,1
50.8885275,6.0137243,2
50.8886127,5.9699118,1
50.8903335,6.0188366,1
50.8905693,5.9811071,2
50.8910146,6.0559822,2
50.8943281,5.9946862,3
50.8950338,5.9764313,1
50.8955104,6.0090147,2
50.895697,5.7259429,1
50.8958564,5.9895041,1
50.8963338,5.9771017,2
50.8965563,5.9914605,1
50.8970933,5.9884683,1
50.8973025,5.9914418,1
50.8974743,6.0487695,1
50.898967,5.9647402,1
50.903524,5.9520739,1
50.9040086,6.0313771,2
50.9046558,5.9631906,1
50.9057607,6.0347282,1
50.9059216,6.0428624,1
50.9060879,6.0356853,1
50.9074847,5.8265147,5
50.9085452,5.7842994,5
50.9094501,6.0483437,4
50.9106369,6.0242608,1
50.9109805,6.0287728,2
50.9114395,6.047846,2
50.9114693,6.029789,3
50.9116987,6.0496697,1
50.9120976,5.9487804,3
50.9125061,5.9751183,2
50.9138265,5.8873752,1
50.913959,6.0426494,1
50.9149568,6.0489627,3
50.9157498,5.9592335,2
50.9163218,6.0412893,4
50.9165561,5.9299506,3
50.9172512,5.959181,4
50.9192623,6.0395106,1
50.919763,6.0367873,2
50.9212167,5.7877217,2
50.9223818,5.9335744,1
50.9260174,5.9327213,1
50.9268533,5.9384204,1
50.930217,5.9246631,1
50.9358042,5.8034253,1
50.9378229,5.8019924,1
50.9382338,5.8027074,3
50.9414122,5.9238117,1
50.9415998,5.8753264,2
50.9430574,5.9612363,1
50.9431622,5.9849274,1
50.9444768,5.798865,2
50.9451423,5.9558837,1
50.9465321,5.7737265,1
50.9479512,5.9131301,4
50.9480497,5.815033,4
50.9489986,5.7644693,1
50.9493483,5.9578708,4
50.9497435,5.9023641,2
50.9503012,5.9740482,1
50.9504402,5.9714458,5
50.950621,5.9694558,6
50.9517146,5.7776121,2
50.9529762,5.8476819,2
50.9533053,5.8133882,1
50.9540307,5.8141065,2
50.9541599,5.9646333,3
50.955204,5.9661407,1
50.9553003,5.9630678,2
50.9563673,5.830993,1
50.9613346,5.8200525,1
50.9626638,5.8251464,1
50.964573,5.8241966,1
50.9677701,5.7636263,1
50.9681593,5.9069542,1
50.969081,5.8277413,2
50.9696574,5.83216,3
50.9702401,5.7586637,1
50.9722909,5.8251524,1
50.9727898,5.7679241,2
50.9732818,5.7740786,2
50.9733622,5.7687973,2
50.974774,5.8611261,2
50.981029,5.8201232,1
50.9817288,5.8082965,4
50.9849744,5.8703308,3
50.9892235,5.7645703,1
50.9894378,5.8141634,2
50.9901866,5.853095,2
50.9927757,5.7640582,2
50.9940108,5.8887713,2
50.9943085,5.8737474,5
50.9950995,5.8651381,3
50.9979282,5.8912498,2
50.9988559,5.8631684,1
51.0006984,5.7712172,1
51.0028698,5.8728547,1
51.0116959,5.8687869,2
51.0125434,5.8414369,3
51.0127527,5.833844,2
51.0159233,5.8368246,3
51.0333664,5.8018115,2
51.0397874,5.7803543,2
51.0451949,5.7788034,1
51.0458951,5.8219448,4
51.0652339,5.848904,1
51.0689734,5.8622382,1
51.0704311,5.8530081,2
51.0986503,5.8930669,2
51.1008542,5.8672931,1
51.1138843,6.0505528,2
51.1181218,6.0419874,2
51.1267974,5.8424657,1
51.1337285,6.0773704,8
51.1418786,5.8867125,1
51.1433544,5.9973618,1
51.1475618,5.8862026,2
51.1499785,5.910997,1
51.1511911,5.8950175,2
51.152462,6.072778,1
51.1535587,5.9338354,1
51.1537975,6.0749562,2
51.1676417,5.8381954,1
51.1678621,5.8369823,1
51.1684874,5.9603497,2
51.1732825,6.0152191,1
51.1768134,5.9580655,3
51.1794902,6.0041633,1
51.1798809,5.8368141,4
51.1806581,5.9604158,3
51.1814817,5.9719249,3
51.1816627,5.9978853,1
51.1825565,5.8881134,3
51.1829528,6.0055114,2
51.1830614,5.9633922,1
51.1833746,5.974452,4
51.1834559,5.9743672,4
51.1848808,5.8952044,2
51.185525,6.0052457,2
51.1862675,6.0176282,1
51.1868735,6.0169356,1
51.1873297,5.9988476,3
51.1874022,5.9183185,2
51.1875214,6.0250548,1
51.1876517,6.0226106,1
51.1883027,5.9950128,1
51.1894346,5.989964,2
51.189467,5.9975458,3
51.1894977,5.920045,4
51.1895211,5.7731974,4
51.1902771,5.8091223,1
51.1905164,6.0231224,1
51.1906033,5.9968314,2
51.1913643,5.7112874,2
51.1918968,5.8086364,1
51.1921924,5.8580777,2
51.192955,5.7271203,1
51.1945549,5.7240707,2
51.1950294,6.047205,1
51.1955123,5.7161951,2
51.1971245,6.012956,2
51.1972094,5.9918259,4
51.1989064,5.8091158,1
51.2009175,6.0213206,1
51.2082518,5.9480247,2
51.2089022,5.7174074,1
51.2108827,3.9078417,2
51.2115801,5.7270294,1
51.2126827,5.9444295,1
51.2131364,5.9491435,1
51.2273256,5.9500476,1
51.2285037,3.7975223,1
51.2291238,5.8870189,5
51.229369,6.0437624,1
51.2306317,5.9541114,1
51.2326858,6.0357775,3
51.2345109,6.0516396,1
51.2357461,5.9541747,4
51.2357806,5.9599886,3
51.2372561,5.5747505,2
51.2391225,5.7045371,1
51.2413665,5.7122284,1
51.2420541,5.7041134,2
51.2438212,5.7245906,1
51.2443334,5.9609261,2
51.244876,5.7357118,1
51.2462196,5.7157143,2
51.2469737,5.7192144,1
51.2486346,5.7352821,1
51.2491094,5.7173392,1
51.2496598,5.716627,1
51.2500072,5.7081073,6
51.2501705,5.7075499,6
51.2511459,5.724974,1
51.2513155,5.7127859,1
51.2520054,5.7322854,1
51.2525403,5.7214892,1
51.254043,5.727144,1
51.2552246,5.7000934,1
51.2553232,5.8981058,1
51.2554865,5.7222413,1
51.2561519,5.7061735,1
51.2564282,5.7037403,1
51.2574294,5.7186312,4
51.2588612,5.6844316,1
